Samples,UTY,MIR12120,HTR6,NPY5R,TFAP2B,CHRNA6,BALR6,GPR50,HAND2,CD70,ESM1,ITGB4,OTOF,ZIM2,ASNSP1,CBLN4,PEG3-AS1,WNT3A,PAX3,NR4A2
Control,0.895368421,-0.621607596,0.895368421,2.75453681,1.824780887,1.824780887,1.824780887,3.420614623,2.121680731,0.895368421,-0.621607596,1.443143704,0.895368421,4.089241549,2.365807859,4.810075996,2.365807859,0.895368421,0.895368421,-0.621607596
Control,1.508846099,-0.621607596,0.947083513,3.714608351,1.508846099,1.508846099,1.508846099,4.48933115,0.947083513,0.947083513,-0.621607596,-0.621607596,1.508846099,4.315910067,3.514645981,4.990285606,1.508846099,-0.621607596,1.508846099,-0.621607596
Control,1.664664019,-0.621607596,-0.621607596,4.662671785,3.212461913,2.385862809,-0.621607596,3.618957634,1.070852034,-0.621607596,1.664664019,-0.621607596,-0.621607596,-0.621607596,1.070852034,5.334943767,-0.621607596,-0.621607596,1.664664019,-0.621607596
Control,2.630080124,-0.621607596,0.929478865,4.610248669,3.251027627,0.929478865,2.420466643,4.993983108,0.929478865,0.929478865,0.929478865,2.420466643,1.486519631,2.420466643,2.630080124,6.109905284,2.420466643,0.929478865,2.173843649,0.929478865
Control,3.578567136,1.120221749,1.120221749,5.058939285,2.458378479,1.120221749,4.112621466,4.631343186,-0.621607596,-0.621607596,1.120221749,1.120221749,1.726263494,4.020520697,3.125844797,5.424632388,2.936239561,1.726263494,2.936239561,1.120221749
Control,3.718656294,-0.621607596,-0.621607596,5.208697454,1.062907842,-0.621607596,2.629678156,4.399776234,-0.621607596,-0.621607596,3.347869663,1.062907842,1.062907842,3.199357063,4.330301418,7.266601332,2.374122156,1.062907842,3.605389959,1.062907842
Control,4.326794683,-0.621607596,-0.621607596,5.520860408,5.044091672,-0.621607596,4.239701487,4.761222972,-0.621607596,1.195156627,1.195156627,1.819167253,1.819167253,4.822412608,3.413406344,5.627533484,2.567007522,1.195156627,3.941477306,1.819167253
Control,4.199243368,-0.621607596,-0.621607596,5.254478622,4.774693661,-0.621607596,3.96963235,5.503717728,0.990517296,0.990517296,3.078402019,3.078402019,1.563754941,3.696246273,3.96963235,5.559833895,1.959822315,1.563754941,3.793271697,2.517063533
Control,4.649838839,-0.621607596,-0.621607596,5.583163706,1.655761343,1.0637376,3.200727373,5.130683748,-0.621607596,-0.621607596,2.062241586,2.062241586,1.655761343,4.331781525,6.061794072,6.517526033,2.630957058,1.0637376,4.100625928,1.0637376
Control,4.830856153,-0.621607596,1.669027277,5.744932525,1.074340772,-0.621607596,2.864080476,6.123791844,-0.621607596,1.074340772,4.119287389,1.669027277,2.864080476,2.391012426,5.108578554,5.970119089,3.218206675,2.076967351,4.350652482,1.074340772
Control,4.9740296,-0.621607596,1.09901907,5.894801002,4.463935787,-0.621607596,5.194876203,5.153330748,-0.621607596,1.09901907,4.243930494,-0.621607596,1.699846883,3.091896449,5.944351366,5.869372505,2.685092131,1.09901907,4.530386434,1.09901907
Control,5.323077758,-0.621607596,-0.621607596,6.116588653,6.403439545,-0.621607596,3.941161811,4.937180489,-0.621607596,-0.621607596,1.194965101,1.194965101,1.818930704,3.051903551,3.243884996,6.233760114,2.566732035,1.194965101,4.760895678,1.194965101
Control,5.218469778,-0.621607596,1.068232332,5.981755828,3.356779342,-0.621607596,4.409294311,5.433764197,-0.621607596,1.068232332,3.491418843,1.661386605,2.068487138,4.0223963,3.042225742,6.27006101,2.3819934,1.068232332,4.599693862,2.068487138
Control,5.382342532,-0.621607596,-0.621607596,6.08106961,3.679845313,-0.621607596,3.566895315,4.717334401,-0.621607596,-0.621607596,2.810252453,1.040488346,2.029859796,3.566895315,4.217261851,6.039453034,3.679845313,1.040488346,4.819267627,1.626622606
Control,5.595560912,-0.621607596,-0.621607596,6.217069688,2.385258879,-0.621607596,3.731630472,5.222520655,-0.621607596,1.664152423,3.211788059,-0.621607596,2.071557255,3.618260075,2.385258879,5.334192848,2.641282417,1.070443058,5.05874726,2.071557255
Control,5.790443751,-0.621607596,1.099108029,6.345855714,5.066626092,-0.621607596,3.984271181,5.110712798,-0.621607596,1.699957839,2.427459746,1.099108029,2.111261529,5.110712798,4.974189309,7.198003895,3.092039323,1.099108029,5.235418776,1.699957839
Control,5.866027977,-0.621607596,1.069851739,6.363519781,3.044849734,-0.621607596,4.342672808,4.921346453,-0.621607596,1.663412691,1.069851739,2.856971562,1.069851739,3.730613601,4.269633288,7.01533649,3.210813611,1.069851739,5.259629688,1.663412691
Control,5.987720592,-0.621607596,-0.621607596,6.428850106,3.193392994,-0.621607596,3.193392994,4.641813405,-0.621607596,-0.621607596,3.712430078,-0.621607596,1.650203731,4.174006543,3.476289933,5.743864926,2.36878197,1.05929897,5.313679771,1.05929897
Control,6.269384703,1.177806834,-0.621607596,6.710393348,1.797720252,-0.621607596,3.385808881,5.014090375,-0.621607596,1.177806834,2.542007578,1.177806834,1.177806834,3.385808881,3.025553199,7.084789036,2.804302216,1.797720252,5.664065311,-0.621607596
Control,6.187440197,-0.621607596,1.086526126,6.560048127,5.087980695,1.086526126,4.054343679,6.207545012,-0.621607596,-0.621607596,2.883333206,2.883333206,1.684254809,3.071794887,4.054343679,6.650944575,2.665977524,1.086526126,5.564076933,1.684254809
Control,6.370845401,-0.621607596,-0.621607596,6.741188223,4.321461307,-0.621607596,3.331256693,5.35476379,-0.621607596,2.172746178,1.755537801,2.172746178,1.755537801,4.672563206,5.100710226,6.370845401,2.753085678,1.755537801,5.6985439,1.143772124
Control,6.224004585,-0.621607596,-0.621607596,6.581031704,2.986300789,-0.621607596,4.347566458,5.075637142,-0.621607596,-0.621607596,2.584804782,2.020664143,2.020664143,3.151229937,3.773008784,6.782001687,2.799721949,1.618356171,5.586037154,2.331083875
Control,6.478953394,1.104252542,1.104252542,6.727146813,3.675593858,-0.621607596,4.085092588,4.934861656,-0.621607596,-0.621607596,1.104252542,1.104252542,2.118366966,4.473158702,4.539633782,5.772473497,3.416648999,1.706372667,5.772473497,1.706372667
Control,6.360676889,-0.621607596,1.006276468,6.598195382,3.620004759,1.006276468,4.544782638,4.705983361,-0.621607596,-0.621607596,1.981974664,-0.621607596,2.940873161,4.155461747,2.755332689,5.141415272,2.541756463,1.006276468,5.670284598,1.583616453
Control,6.760064257,1.188112088,-0.621607596,6.962148512,5.17830059,-0.621607596,2.819727597,4.548357278,-0.621607596,2.556867629,1.188112088,-0.621607596,1.188112088,3.553400499,4.314943329,6.41119303,2.233333987,1.188112088,6.054850961,1.188112088
Control,6.698668295,-0.621607596,-0.621607596,6.935743505,4.227832457,-0.621607596,3.606158279,5.262698023,-0.621607596,1.136870243,1.746965732,2.742648034,1.746965732,3.152355502,3.950345747,6.728668078,1.746965732,1.136870243,6.013133241,1.746965732
Control,6.57846011,-0.621607596,-0.621607596,6.779425544,4.275815219,-0.621607596,3.148978828,3.770638809,-0.621607596,-0.621607596,1.616660681,1.032552723,1.616660681,3.666031873,4.203002878,6.361699317,3.148978828,1.616660681,5.891906904,-0.621607596
Control,6.644654812,-0.621607596,1.632311783,6.864383257,3.57470643,1.045023244,4.06750237,5.012132304,-0.621607596,1.045023244,2.602047813,1.632311783,2.03618612,3.169734005,5.455902288,6.852344177,2.03618612,1.045023244,5.960969197,1.045023244
Control,6.632946638,-0.621607596,1.031556154,6.874255367,3.147316635,1.031556154,2.982456714,5.769429892,-0.621607596,1.031556154,2.581159783,-0.621607596,2.017384774,3.551473227,3.551473227,6.043523501,1.615409067,1.031556154,6.084538939,-0.621607596
Control,6.622248137,-0.621607596,-0.621607596,6.866483013,2.528462154,0.99778404,3.605032867,4.638418442,0.99778404,-0.621607596,2.926831518,0.99778404,1.970044498,3.237610406,3.605032867,6.773689965,2.277107219,0.99778404,6.04007006,1.970044498
Control,6.597945086,1.933470666,5.037917326,6.923854433,4.480549672,2.699489137,3.447058837,1.5401563,2.883683963,2.487646619,2.699489137,3.447058837,3.662782524,4.589727612,2.699489137,4.362411579,2.487646619,2.23804932,6.009518115,2.23804932
Control,7.115270969,2.205925627,1.168013523,7.303272279,7.393695927,-0.621607596,7.127034711,-0.621607596,1.168013523,-0.621607596,1.168013523,-0.621607596,1.168013523,6.992035717,1.168013523,4.650803588,3.781941528,1.168013523,6.395044316,3.520951275
